,user_id,book_id,is_read,rating,is_reviewed
124,306,24885,1,5,1
125,306,23221,1,4,0
127,308,38517,1,5,0
128,308,14566,1,5,0
132,321,12934,1,4,0
133,321,14566,1,4,1
139,347,80349,1,4,0
140,347,14566,1,5,0
141,348,19065,1,5,0
142,348,80673,1,5,0
143,348,80491,1,4,0
145,352,82614,1,4,0
146,352,82588,1,4,0
148,355,82783,1,4,1
149,355,82774,1,5,0
151,362,84066,1,4,0
152,362,84028,1,4,0
153,363,84079,1,4,0
154,363,84076,1,5,0
155,363,84074,1,4,0
156,363,84073,1,4,0
159,367,39640,1,5,0
160,367,39637,1,5,0
161,367,22192,1,5,1
162,370,46777,1,4,0
163,370,14566,1,5,1
165,388,87573,1,4,0
166,388,87432,1,4,0
167,388,87273,1,4,0
168,389,87976,1,5,0
169,389,22192,1,4,0
171,394,22232,1,4,0
172,394,22192,1,4,0
173,396,89810,1,4,0
174,396,89803,1,4,1
175,396,89793,1,5,0
176,396,89755,1,4,0
177,396,19452,1,4,0
182,413,92717,1,5,0
183,413,24424,1,4,0
184,416,93786,1,5,0
185,416,93770,1,4,0
187,427,96068,1,4,0
188,427,10570,1,5,0
192,435,42802,1,5,0
193,435,42798,1,5,0
195,450,93727,1,4,0
196,450,38980,1,4,0
197,469,2811,1,4,1
198,469,44353,1,4,1
199,469,43526,1,5,1
203,475,3304,1,4,1
204,475,47893,1,4,1
211,492,13152,1,4,0
212,492,24424,1,4,0
213,492,3304,1,5,0
215,495,106489,1,5,0
216,495,108175,1,5,0
217,495,107931,1,5,1
218,495,107930,1,5,0
219,495,107928,1,4,0
220,495,107784,1,4,0
221,495,14566,1,5,0
223,501,110023,1,5,0
224,501,65954,1,5,0
226,512,3304,1,4,0
227,512,19474,1,4,0
230,516,17005,1,4,0
231,516,17020,1,4,0
236,534,114411,1,4,0
237,534,14566,1,4,0
239,546,115723,1,4,0
240,546,115722,1,4,0
241,546,93729,1,4,0
242,555,49746,1,5,0
243,555,19065,1,5,0
246,560,19439,1,4,0
247,560,12125,1,5,0
249,571,119847,1,5,1
250,571,119838,1,4,1
251,571,71869,1,4,1
253,576,26764,1,5,1
254,576,120219,1,5,1
255,586,79642,1,4,1
256,586,123106,1,4,0
257,587,94072,1,4,0
258,587,14566,1,4,1
260,590,24424,1,4,0
261,590,123448,1,5,1
262,593,12125,1,5,0
263,593,38517,1,5,0
264,599,125707,1,4,1
265,599,12523,1,4,1
266,599,79640,1,4,1
267,599,11784,1,4,1
269,605,128091,1,4,0
270,605,128084,1,4,0
271,605,127574,1,4,0
274,617,14566,1,5,0
275,617,47626,1,4,0
279,636,19065,1,5,0
280,636,24424,1,4,0
285,649,133839,1,4,0
286,649,14566,1,4,0
293,678,95914,1,5,0
294,678,138202,1,5,1
295,683,89806,1,4,0
296,683,49746,1,4,0
297,683,128091,1,4,0
298,683,140260,1,5,0
299,683,127426,1,4,0
300,683,127425,1,4,0
306,697,93727,1,5,0
307,697,93742,1,4,0
310,705,50804,1,5,0
311,705,71864,1,5,1
312,708,19065,1,5,0
313,708,49746,1,4,0
318,733,38601,1,4,0
319,733,38539,1,4,0
326,758,38532,1,5,0
327,758,14566,1,5,0
329,763,82436,1,4,1
330,763,82774,1,5,1
335,780,39785,1,4,1
336,780,39784,1,4,1
337,780,19476,1,4,1
338,780,19439,1,4,1
339,780,14566,1,5,1
340,780,19452,1,4,1
348,818,12934,1,5,1
349,818,46777,1,5,0
350,818,159019,1,4,1
352,826,112693,1,4,0
353,826,124740,1,5,0
356,837,10431,1,4,1
357,837,10570,1,4,0
366,867,164726,1,5,0
367,867,164722,1,4,0
368,868,19065,1,5,0
369,868,164955,1,5,1
378,923,19476,1,5,0
379,923,170529,1,5,0
382,950,19065,1,4,0
383,950,93727,1,4,0
388,968,22232,1,4,0
389,968,22192,1,5,0
390,969,19476,1,5,1
391,969,94072,1,4,1
392,969,14566,1,5,1
395,981,176474,1,4,0
396,981,176473,1,4,0
397,981,176440,1,4,0
398,981,176438,1,4,0
399,981,176402,1,5,0
400,981,82774,1,5,0
401,981,176287,1,4,0
402,981,176283,1,4,0
403,981,176273,1,5,1
404,983,3304,1,4,1
405,983,19476,1,4,0
406,983,176650,1,4,1
408,985,105648,1,5,0
409,985,40159,1,4,0
410,985,47626,1,4,0
413,998,22237,1,4,0
414,998,22232,1,5,0
417,1012,4717,1,4,0
418,1012,3304,1,5,0
420,1019,44881,1,4,1
421,1019,12934,1,4,0
422,1019,124776,1,4,1
426,1032,93743,1,5,0
427,1032,127422,1,5,0
429,1046,23221,1,5,0
430,1046,23230,1,5,0
431,1046,23229,1,4,0
432,1046,23228,1,5,0
433,1058,12125,1,4,1
434,1058,44881,1,4,1
435,1061,116428,1,4,0
436,1061,127428,1,5,0
439,1073,127422,1,5,0
440,1073,191983,1,5,0
441,1073,128084,1,4,0
442,1073,51069,1,4,0
444,1077,39640,1,4,0
445,1077,39639,1,4,0
446,1077,39638,1,4,0
447,1077,22232,1,4,0
449,1091,10943,1,4,0
450,1091,79876,1,4,0
451,1091,10570,1,5,0
452,1091,10431,1,5,0
453,1091,124838,1,4,0
454,1091,137983,1,4,0
457,1101,10570,1,4,0
458,1101,10050,1,5,0
459,1101,183626,1,4,0
460,1101,8960,1,4,0
461,1104,170529,1,5,0
462,1104,10570,1,5,0
463,1104,8951,1,5,0
464,1104,137970,1,5,0
471,1131,204297,1,4,0
472,1131,124740,1,4,1
473,1131,137966,1,4,1
474,1133,49750,1,5,0
475,1133,181426,1,5,0
476,1138,22192,1,5,0
477,1138,22193,1,5,0
478,1138,205959,1,5,0
479,1138,205652,1,4,1
480,1140,13152,1,4,0
481,1140,22232,1,4,0
486,1157,91207,1,5,0
487,1157,13152,1,5,0
489,1165,19065,1,5,0
490,1165,37489,1,5,0
492,1167,46260,1,5,0
493,1167,54390,1,4,0
496,1201,37743,1,4,0
497,1201,37240,1,4,0
505,1230,217253,1,5,1
506,1230,14560,1,5,0
507,1230,26092,1,5,0
513,1254,30331,1,5,0
514,1254,219570,1,5,1
515,1255,39635,1,5,0
516,1255,39636,1,5,0
517,1255,39640,1,4,0
518,1255,39638,1,4,0
519,1255,39639,1,4,0
520,1255,39637,1,4,0
521,1258,13152,1,4,0
522,1258,93724,1,4,0
527,1284,3304,1,4,0
528,1284,19452,1,4,0
529,1284,14560,1,4,0
532,1295,26212,1,4,1
533,1295,127426,1,5,1
540,1314,93729,1,4,0
541,1314,19065,1,5,0
547,1329,24424,1,5,0
548,1329,233330,1,4,1
549,1329,44325,1,4,1
550,1329,43460,1,4,1
551,1329,43595,1,4,1
552,1329,175005,1,5,1
553,1329,124740,1,4,0
554,1329,227631,1,5,1
555,1330,233627,1,4,0
556,1330,94072,1,5,1
563,1359,187753,1,5,0
564,1359,140998,1,4,1
565,1372,46777,1,5,1
566,1372,105648,1,5,0
570,1397,17020,1,5,0
571,1397,17005,1,5,0
572,1401,19448,1,5,0
573,1401,241976,1,4,0
578,1418,106081,1,4,0
579,1418,176473,1,4,0
580,1418,176474,1,4,0
584,1425,19065,1,5,0
585,1425,13152,1,5,0
586,1431,2811,1,4,0
587,1431,3304,1,4,0
588,1431,47754,1,4,0
589,1431,19474,1,5,0
590,1431,8967,1,4,0
591,1431,10570,1,4,0
592,1431,37240,1,5,0
593,1437,119847,1,5,1
594,1437,38517,1,4,0
595,1437,12523,1,4,0
605,1467,19065,1,4,0
606,1467,991,1,4,0
609,1482,19065,1,5,0
610,1482,19066,1,4,0
611,1484,112693,1,4,0
612,1484,170529,1,5,0
616,1499,89810,1,5,0
617,1499,256270,1,5,0
620,1502,257445,1,4,0
621,1502,22192,1,5,0
623,1514,59264,1,4,0
624,1514,13152,1,5,0
626,1518,258468,1,4,0
627,1518,129647,1,4,0
628,1518,19452,1,5,1
631,1525,259975,1,5,0
632,1525,259974,1,5,0
640,1563,263171,1,4,0
641,1563,24769,1,5,0
642,1563,263147,1,4,0
644,1594,3304,1,5,1
645,1594,19474,1,4,1
646,1600,44175,1,4,0
647,1600,232670,1,4,0
648,1600,43595,1,4,0
651,1615,266590,1,4,0
652,1615,176534,1,4,0
653,1616,266666,1,5,0
654,1616,266655,1,4,0
655,1616,266607,1,5,1
660,1639,58890,1,4,1
661,1639,39639,1,5,1
662,1639,22232,1,5,1
663,1646,14560,1,5,1
664,1646,14566,1,4,0
665,1647,19065,1,5,0
666,1647,49746,1,5,0
670,1671,3304,1,5,0
671,1671,270730,1,4,0
673,1673,175005,1,5,0
674,1673,271086,1,4,0
675,1673,44881,1,5,0
678,1682,47917,1,4,0
679,1682,51428,1,4,0
680,1684,19065,1,5,0
681,1684,272400,1,5,0
684,1688,127426,1,5,0
685,1688,127425,1,4,0
686,1688,127428,1,4,0
690,1708,22628,1,5,0
691,1708,8960,1,5,0
693,1713,275463,1,4,0
694,1713,65065,1,4,0
695,1713,12523,1,5,0
700,1734,58939,1,5,0
701,1734,91207,1,5,0
702,1734,276546,1,5,0
706,1756,278794,1,4,0
707,1756,93727,1,5,0
710,1765,279680,1,4,0
711,1765,279679,1,5,0
712,1765,279672,1,5,0
713,1765,279670,1,4,0
714,1765,279669,1,5,0
715,1765,279638,1,4,0
722,1786,266590,1,4,0
723,1786,279679,1,4,0
727,1797,282210,1,5,0
728,1797,282205,1,4,0
729,1797,282202,1,4,0
733,1808,17020,1,4,0
734,1808,17005,1,5,0
735,1814,127426,1,4,0
736,1814,127425,1,4,0
738,1826,279668,1,4,0
739,1826,153782,1,4,0
740,1826,19065,1,4,0
741,1830,47755,1,4,0
742,1830,53072,1,4,0
745,1843,37240,1,4,0
746,1843,19452,1,5,0
747,1843,14566,1,4,0
754,1870,22232,1,5,0
755,1870,289515,1,5,0
756,1870,13376,1,4,0
757,1870,17005,1,4,0
758,1871,46648,1,5,1
759,1871,14566,1,4,0
761,1877,46777,1,4,0
762,1877,82783,1,4,0
763,1877,89796,1,4,0
764,1877,14566,1,5,0
765,1877,71366,1,4,0
767,1881,279671,1,4,0
768,1881,19452,1,5,0
769,1882,3304,1,4,0
770,1882,14560,1,5,0
773,1888,12125,1,5,0
774,1888,290412,1,5,0
775,1890,290512,1,4,0
776,1890,290495,1,4,0
777,1890,290493,1,4,0
778,1890,290459,1,4,0
779,1894,12934,1,4,1
780,1894,217253,1,5,1
781,1895,292381,1,4,0
782,1895,292379,1,5,0
783,1895,292375,1,5,0
784,1895,292374,1,5,0
785,1895,292199,1,5,0
786,1895,292164,1,5,0
787,1895,13152,1,4,0
788,1896,82574,1,4,0
789,1896,292403,1,4,0
790,1896,292397,1,4,0
791,1896,292389,1,4,0
792,1896,292388,1,4,0
796,1910,293975,1,5,0
797,1910,293973,1,5,0
798,1910,293970,1,5,0
799,1910,293950,1,4,0
800,1910,293724,1,5,0
801,1910,293722,1,4,0
802,1910,19065,1,5,0
803,1910,65954,1,4,0
804,1910,293401,1,4,0
807,1920,294735,1,4,0
808,1920,294691,1,4,1
809,1920,14560,1,5,1
813,1937,19065,1,4,0
814,1937,58350,1,4,0
816,1945,95914,1,5,1
817,1945,124838,1,4,1
820,1952,105648,1,4,0
821,1952,128091,1,4,0
827,1968,13152,1,4,0
828,1968,89806,1,5,0
829,1968,46777,1,4,1
830,1974,279671,1,4,1
831,1974,71864,1,5,1
832,1975,303339,1,5,0
833,1975,19065,1,4,0
834,1975,303197,1,4,1
836,1980,208159,1,4,0
837,1980,22192,1,4,0
840,1991,105648,1,4,0
841,1991,71864,1,5,1
843,2001,52489,1,5,1
844,2001,14560,1,5,1
845,2001,8137,1,5,0
858,2041,46777,1,5,0
859,2041,38517,1,5,0
860,2041,3402,1,5,0
864,2048,24424,1,4,0
865,2048,10431,1,5,0
866,2048,176604,1,5,0
867,2048,10570,1,5,0
868,2048,308672,1,4,0
869,2048,8951,1,5,0
871,2067,89806,1,5,0
872,2067,279638,1,4,0
873,2070,110023,1,4,0
874,2070,12125,1,5,0
876,2082,8137,1,4,0
877,2082,93727,1,4,0
878,2083,310894,1,4,0
879,2083,46260,1,4,0
880,2099,19476,1,4,0
881,2099,95913,1,4,0
886,2109,19065,1,4,0
887,2109,24765,1,5,0
888,2111,19452,1,4,1
889,2111,301028,1,5,1
896,2132,13152,1,4,0
897,2132,26092,1,5,0
898,2132,22232,1,5,0
903,2142,58350,1,5,0
904,2142,320923,1,4,0
905,2142,128084,1,4,0
906,2142,128091,1,4,0
907,2142,127428,1,4,0
908,2143,13152,1,4,0
909,2143,321185,1,4,1
910,2143,39771,1,4,1
916,2167,3304,1,5,1
917,2167,37240,1,4,0
918,2167,19474,1,4,0
919,2168,19476,1,4,1
920,2168,322133,1,4,1
921,2168,12934,1,4,1
922,2168,14567,1,5,1
923,2181,38520,1,4,1
924,2181,65954,1,4,1
925,2181,207889,1,4,1
926,2181,3304,1,4,1
927,2181,19439,1,4,1
929,2188,11784,1,4,0
930,2188,125707,1,5,0
934,2214,2917,1,4,1
935,2214,114954,1,4,0
936,2220,217605,1,4,1
937,2220,48978,1,5,0
938,2220,256683,1,5,1
939,2220,327336,1,4,1
942,2245,127420,1,5,1
943,2245,330127,1,4,1
944,2245,128091,1,4,1
945,2245,127442,1,4,1
946,2245,127445,1,4,1
947,2245,127439,1,4,1
948,2245,287861,1,5,1
949,2245,128084,1,4,1
950,2245,127415,1,4,1
951,2245,127426,1,4,1
952,2245,22192,1,5,1
953,2245,127425,1,4,1
954,2245,328863,1,4,1
956,2249,176273,1,5,0
957,2249,199687,1,4,0
959,2258,3304,1,5,0
960,2258,82780,1,5,0
961,2258,51948,1,5,0
962,2260,330843,1,4,0
963,2260,176474,1,4,0
964,2260,176473,1,4,0
967,2276,333935,1,4,0
968,2276,333922,1,5,0
969,2276,333921,1,4,0
970,2276,333920,1,4,0
971,2276,333918,1,5,0
972,2276,333917,1,5,0
973,2276,332572,1,4,1
974,2284,334865,1,5,0
975,2284,39637,1,4,0
976,2284,39640,1,4,0
977,2284,39639,1,4,0
978,2284,39636,1,4,0
986,2326,22232,1,4,0
987,2326,3304,1,4,0
988,2326,71869,1,4,0
989,2331,122959,1,4,0
990,2331,22232,1,4,0
994,2351,38517,1,5,0
995,2351,272791,1,5,0
996,2353,22232,1,4,0
997,2353,22192,1,4,0
1000,2371,110023,1,4,0
1001,2371,46777,1,4,1
1002,2371,38601,1,4,0
1003,2371,12125,1,4,0
1004,2371,65954,1,4,0
1005,2371,44881,1,5,0
1008,2377,40159,1,4,0
1009,2377,19439,1,4,0
1010,2377,14566,1,5,0
1011,2384,343185,1,4,0
1012,2384,343183,1,5,0
1013,2384,270804,1,5,0
1014,2384,343175,1,4,0
1015,2388,293151,1,4,0
1016,2388,22232,1,4,0
1029,2423,112693,1,5,0
1030,2423,10570,1,5,0
1031,2423,79876,1,5,0
1032,2423,8951,1,5,0
1033,2424,345522,1,4,0
1034,2424,22192,1,4,0
1035,2424,205652,1,5,0
1042,2450,39636,1,5,0
1043,2450,39640,1,4,0
1044,2450,39639,1,5,0
1045,2450,39638,1,5,0
1046,2450,39637,1,5,0
1047,2450,13648,1,4,0
1048,2450,39635,1,5,0
1054,2463,46262,1,5,0
1055,2463,43454,1,4,0
1056,2463,175887,1,4,1
1057,2466,13152,1,4,0
1058,2466,22192,1,5,0
1059,2472,108175,1,5,1
1060,2472,295741,1,5,1
1063,2478,141513,1,5,0
1064,2478,14566,1,4,0
1065,2479,19065,1,5,0
1066,2479,345522,1,5,0
1067,2479,17567,1,5,0
1068,2479,13083,1,5,0
1070,2483,233789,1,5,0
1071,2483,119847,1,5,0
1072,2483,71864,1,4,0
1074,2489,127426,1,5,0
1075,2489,127425,1,4,0
1076,2499,17020,1,5,0
1077,2499,351466,1,5,0
1082,2522,8967,1,4,0
1083,2522,8960,1,4,0
1084,2522,137970,1,4,0
1089,2544,19065,1,4,0
1090,2544,66899,1,4,0
1094,2557,47887,1,4,1
1095,2557,14566,1,5,0
1099,2567,176474,1,4,0
1100,2567,176473,1,4,0
1101,2570,19065,1,5,0
1102,2570,127415,1,4,0
1105,2580,12523,1,4,0
1106,2580,218827,1,4,0
1107,2580,170529,1,5,0
1108,2580,10570,1,4,0
1113,2595,359410,1,4,1
1114,2595,38517,1,5,0
1116,2607,3402,1,4,0
1117,2607,44881,1,5,0
1124,2658,363453,1,5,0
1125,2658,363452,1,5,0
1126,2658,48722,1,4,0
1127,2658,363416,1,5,1
1132,2674,3304,1,4,1
1133,2674,40159,1,4,1
1134,2674,199762,1,5,0
1135,2674,343175,1,4,0
1136,2676,95914,1,5,0
1137,2676,112693,1,5,0
1138,2676,8960,1,4,1
1140,2689,19476,1,4,0
1141,2689,37240,1,4,0
1142,2689,71869,1,5,1
1143,2694,366896,1,5,0
1144,2694,366160,1,4,1
1145,2697,19065,1,5,0
1146,2697,22192,1,5,0
1147,2698,367140,1,4,1
1148,2698,49750,1,5,1
1153,2710,348542,1,5,1
1154,2710,348541,1,5,1
1156,2726,13152,1,4,0
1157,2726,93773,1,4,0
1158,2740,205638,1,4,0
1159,2740,371100,1,4,0
1160,2740,371075,1,4,0
1164,2752,38517,1,4,0
1165,2752,112693,1,5,0
1167,2759,333917,1,5,0
1168,2759,333935,1,4,0
1169,2759,293151,1,4,0
1174,2794,13152,1,4,0
1175,2794,14560,1,5,0
1176,2797,301040,1,5,0
1177,2797,13152,1,5,0
1180,2828,105648,1,4,0
1181,2828,26092,1,4,0
1182,2831,13648,1,4,0
1183,2831,22232,1,4,0
1185,2843,51070,1,5,0
1186,2843,51069,1,5,0
1187,2843,87432,1,5,0
1191,2856,19065,1,5,0
1192,2856,95913,1,5,1
1195,2862,157650,1,4,0
1196,2862,17005,1,5,0
1206,2903,11784,1,4,0
1207,2903,8960,1,4,0
1213,2926,12934,1,4,0
1214,2926,10943,1,4,1
1222,2960,87976,1,5,0
1223,2960,22237,1,4,0
1224,2964,48775,1,5,0
1225,2964,22192,1,5,0
1229,2975,24431,1,4,0
1230,2975,94060,1,4,0
1231,2975,14566,1,4,0
1232,2980,22232,1,4,0
1233,2980,22192,1,4,0
1241,3013,106489,1,5,0
1242,3013,10431,1,4,0
1244,3034,47626,1,5,0
1245,3034,12934,1,4,0
1246,3034,176637,1,5,0
1247,3039,43460,1,5,1
1248,3039,43595,1,4,1
1250,3050,103983,1,4,0
1251,3050,215541,1,5,0
1258,3068,397189,1,4,0
1259,3068,397183,1,4,0
1260,3068,397182,1,4,0
1261,3068,397178,1,4,0
1262,3068,397169,1,5,1
1263,3069,397468,1,4,0
1264,3069,96068,1,5,0
1265,3069,397462,1,5,0
1266,3069,397456,1,5,0
1267,3069,397454,1,4,0
1268,3069,397434,1,5,0
1269,3069,397432,1,4,0
1270,3069,397430,1,4,0
1271,3069,397429,1,4,0
1272,3069,12523,1,4,0
1273,3069,47917,1,4,0
1274,3069,10570,1,4,0
1279,3086,19065,1,5,0
1280,3086,17020,1,5,0
1281,3086,17005,1,5,0
1284,3102,248925,1,5,0
1285,3102,37240,1,4,1
1292,3126,46260,1,5,0
1293,3126,87573,1,5,0
1294,3128,40159,1,4,0
1295,3128,19476,1,5,0
1296,3128,3304,1,5,0
1297,3128,19452,1,5,0
1300,3140,217605,1,4,0
1301,3140,401731,1,4,0
1303,3142,125707,1,5,0
1304,3142,139253,1,4,0
1305,3142,96068,1,4,0
1306,3142,10570,1,5,0
1313,3162,39639,1,4,0
1314,3162,287861,1,5,0
1316,3172,106489,1,5,0
1317,3172,89795,1,5,0
1318,3172,37731,1,4,0
1319,3172,19439,1,5,0
1325,3197,176663,1,4,0
1326,3197,14566,1,4,0
1328,3199,19476,1,4,0
1329,3199,70999,1,4,0
1330,3199,88523,1,4,0
1337,3253,42802,1,4,0
1338,3253,42798,1,4,0
1354,3319,412402,1,4,0
1355,3319,412401,1,5,1
1356,3319,412399,1,4,0
1357,3319,412395,1,4,0
1358,3319,412367,1,4,0
1359,3319,412359,1,5,0
1360,3319,412356,1,4,0
1361,3319,412347,1,4,0
1362,3319,412277,1,4,0
1365,3329,114954,1,5,0
1366,3329,407355,1,5,0
1367,3329,93727,1,5,0
1368,3331,182599,1,4,1
1369,3331,413392,1,4,0
1378,3370,22232,1,5,0
1379,3370,47887,1,5,0
1386,3384,416275,1,4,1
1387,3384,416227,1,5,1
1391,3395,38517,1,4,0
1392,3395,19439,1,5,0
1397,3432,19439,1,4,0
1398,3432,14566,1,4,0
1400,3434,93727,1,4,0
1401,3434,153806,1,5,0
1403,3450,96068,1,5,0
1404,3450,79640,1,5,0
1405,3450,8951,1,4,0
1406,3450,10570,1,5,0
1408,3463,176283,1,4,0
1409,3463,2917,1,5,1
1410,3463,5454,1,5,0
1411,3463,5453,1,5,0
1413,3476,422056,1,5,0
1414,3476,422026,1,5,0
1415,3476,421969,1,5,0
1416,3476,421967,1,5,0
1418,3482,5454,1,5,0
1419,3482,5452,1,5,0
1420,3483,13376,1,5,0
1421,3483,19065,1,5,0
1422,3483,345522,1,4,1
1426,3499,19065,1,5,0
1427,3499,19452,1,5,0
1430,3511,176343,1,5,1
1431,3511,5451,1,5,1
1432,3511,87976,1,5,0
1434,3519,157650,1,4,0
1435,3519,24424,1,5,0
1436,3519,12934,1,4,0
1440,3527,424069,1,5,0
1441,3527,3304,1,5,0
1442,3533,17020,1,4,0
1443,3533,116431,1,4,0
1444,3533,14560,1,5,0
1446,3545,88031,1,4,1
1447,3545,199781,1,4,1
1448,3545,5451,1,4,1
1449,3545,220030,1,4,1
1450,3545,47774,1,4,1
1451,3545,303197,1,4,1
1459,3573,24769,1,5,0
1460,3573,94063,1,4,0
1461,3573,48816,1,5,0
1462,3573,19452,1,4,0
1463,3587,270404,1,4,0
1464,3587,14566,1,5,0
1467,3603,282205,1,5,0
1468,3603,282210,1,5,0
1469,3603,282203,1,4,0
1470,3603,294233,1,4,0
1474,3622,196549,1,5,0
1475,3622,430522,1,4,1
1476,3623,2917,1,4,0
1477,3623,3304,1,5,0
1482,3647,290412,1,4,0
1483,3647,89810,1,4,0
1484,3651,152104,1,4,0
1485,3651,14566,1,5,0
1487,3656,24768,1,5,0
1488,3656,2917,1,4,1
1489,3656,397456,1,4,1
1490,3656,87432,1,4,1
1491,3656,433052,1,4,1
1492,3660,19065,1,4,0
1493,3660,13152,1,5,0
1496,3681,182600,1,4,0
1497,3681,182599,1,4,0
1498,3681,22232,1,4,0
1499,3681,22192,1,4,0
1504,3708,285951,1,4,0
1505,3708,437514,1,5,0
1508,3730,439418,1,4,0
1509,3730,439275,1,4,1
1510,3732,38539,1,4,0
1511,3732,37780,1,5,1
1522,3779,58350,1,4,0
1523,3779,260037,1,5,0
1531,3824,127416,1,4,0
1532,3824,393094,1,4,0
1549,3895,22232,1,5,0
1550,3895,22192,1,4,0
1561,3975,127422,1,4,0
1562,3975,127421,1,4,0
1564,3977,46262,1,4,0
1565,3977,3304,1,4,0
1570,3990,11784,1,4,0
1571,3990,47917,1,4,0
1572,3990,96068,1,4,0
1573,3990,259978,1,4,0
1575,3997,22237,1,4,1
1576,3997,13083,1,4,0
1578,3999,14560,1,4,0
1579,3999,8137,1,4,0
1580,3999,14566,1,5,0
1585,4010,47889,1,4,0
1586,4010,38517,1,4,1
1587,4020,147801,1,4,0
1588,4020,176287,1,5,0
1590,4027,459700,1,5,0
1591,4027,14566,1,5,0
1592,4031,46262,1,4,0
1593,4031,3304,1,5,0
1595,4034,42802,1,5,0
1596,4034,42798,1,5,0
1597,4034,22232,1,5,0
1601,4043,112693,1,4,0
1602,4043,79640,1,4,1
1612,4078,80349,1,5,0
1613,4078,14566,1,4,0
1617,4092,10570,1,4,0
1618,4092,79876,1,4,0
1619,4095,39988,1,5,0
1620,4095,2917,1,4,0
1621,4095,3304,1,4,0
1622,4095,127442,1,4,0
1626,4113,49750,1,4,1
1627,4113,39640,1,4,1
1629,4130,412176,1,5,0
1630,4130,220030,1,4,0
1631,4130,12125,1,4,0
1632,4130,38517,1,4,0
1634,4141,127428,1,4,0
1635,4141,439093,1,4,0
1636,4141,328863,1,4,0
1637,4141,191298,1,5,0
1638,4143,38517,1,5,0
1639,4143,12125,1,4,0
1641,4147,19065,1,5,0
1642,4147,88523,1,4,0
1644,4150,468690,1,4,0
1645,4150,215541,1,4,0
1649,4158,13152,1,4,1
1650,4158,339339,1,4,1
1651,4158,58350,1,5,0
1652,4159,13152,1,5,0
1653,4159,93732,1,5,0
1654,4163,13083,1,4,0
1655,4163,22232,1,4,0
1656,4164,19066,1,4,0
1657,4164,13152,1,4,0
1658,4164,266800,1,4,1
1665,4200,105648,1,4,1
1666,4200,99561,1,4,1
1667,4203,14560,1,5,0
1668,4203,8137,1,5,1
1679,4242,3304,1,5,1
1680,4242,14566,1,4,0
1681,4244,12523,1,5,0
1682,4244,112693,1,4,0
1683,4244,10570,1,4,0
1684,4244,8967,1,5,0
1685,4245,488981,1,4,0
1686,4245,488946,1,5,0
1695,4280,19066,1,5,0
1696,4280,48775,1,5,0
1697,4280,19065,1,5,0
1701,4297,37489,1,4,0
1702,4297,3304,1,4,0
1706,4309,19065,1,5,0
1707,4309,333547,1,5,0
1716,4350,458543,1,4,0
1717,4350,182600,1,5,0
1718,4350,182599,1,5,0
1725,4386,5454,1,5,0
1726,4386,2917,1,4,0
1729,4402,13152,1,4,0
1730,4402,89795,1,4,0
1732,4419,279679,1,4,0
1733,4419,14560,1,5,0
1737,4430,176636,1,4,0
1738,4430,26092,1,4,0
1739,4430,497817,1,4,0
1745,4458,289515,1,4,0
1746,4458,191983,1,4,0
1747,4458,22232,1,5,1
1748,4462,19065,1,5,0
1749,4462,24431,1,4,0
1757,4484,502301,1,4,1
1758,4484,301030,1,5,0
1759,4484,11831,1,5,1
1760,4484,501689,1,4,1
1761,4484,14566,1,5,1
